RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
1,"IF12526","11/3/2023","Cement: Background and Low-Carbon Production","https://crsreports.congress.gov/product/pdf/download/IF/IF12526/IF12526.pdf/","1","11/03/2023"
2,"IF10484","11/3/2023","Defense Primer: Department of the Navy","https://crsreports.congress.gov/product/pdf/download/IF/IF10484/IF10484.pdf/","29","10/14/2016"
3,"IN12275","11/3/2023","Discretionary Appropriations for the Federal Judiciary (FY2024): Comparison of Amounts Recommended by the House and Senate Appropriations Committees","https://crsreports.congress.gov/product/pdf/download/IN/IN12275/IN12275.pdf/","1","11/03/2023"
4,"IF12527","11/3/2023","Indian Gaming Regulatory Act: Gaming on Indian Lands","https://crsreports.congress.gov/product/pdf/download/IF/IF12527/IF12527.pdf/","1","11/03/2023"
5,"R47467","11/3/2023","Qatar: Issues for the 118th Congress","https://crsreports.congress.gov/product/pdf/download/R/R47467/R47467.pdf/","5","03/10/2023"
6,"R47622","11/3/2023","Status of FY2024 Labor, Health and Human Services, and Education Appropriations: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R47622/R47622.pdf/","8","07/12/2023"
7,"LSB11072","11/3/2023","Third Circuit Holds that Application of Felon-in-Possession Ban Violates the Second Amendment, Creating Circuit Split","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11072/LSB11072.pdf/","1","11/03/2023"
8,"IF10261","11/3/2023","U.S. Agency for International Development: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10261/IF10261.pdf/","14","07/22/2015"
9,"R46413","11/2/2023","Election Day: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R46413/R46413.pdf/","5","06/12/2020"
10,"IF10359","11/2/2023","Pakistan's Domestic Political Setting","https://crsreports.congress.gov/product/pdf/download/IF/IF10359/IF10359.pdf/","30","02/16/2016"
11,"94-803","11/2/2023","Social Security: Cost-of-Living Adjustments","https://crsreports.congress.gov/product/pdf/download/RS/94-803/94-803.pdf/","41","10/19/2004"
12,"TE10087","11/2/2023","The Factors Influencing the High Cost of Insurance for Consumers","https://crsreports.congress.gov/product/pdf/download/TE/TE10087/TE10087.pdf/","2","10/26/2023"
13,"IF12525","11/2/2023","The IRS Business Systems Modernization Program: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF12525/IF12525.pdf/","1","11/02/2023"
14,"IF12524","11/1/2023","Corporate Taxation: Profit Shifting, Transfer Pricing, and Cost Sharing","https://crsreports.congress.gov/product/pdf/download/IF/IF12524/IF12524.pdf/","1","11/02/2023"
15,"IN12028","11/1/2023","Implications of the FCC-Approved Ligado Network for the Department of Defense ","https://crsreports.congress.gov/product/pdf/download/IN/IN12028/IN12028.pdf/","5","10/06/2022"
